Name: 400-30-45
Gen0: 13 13
Gen1: 13 13
Gen2: 13 13
Gen3: 13 13
Gen4: 13 13
Gen5: 13 13
Gen6: 13 13
Gen7: 13 13
Gen8: 13 13
Gen9: 13 13
Gen10: 3017 13
Gen11: 1015 13
Gen12: 14 13
Gen13: 14 13
Gen14: 14 13
Gen15: 14 13
Gen16: 14 13
Gen17: 14 13
Gen18: 14 13
Gen19: 14 13
Gen20: 14 13
Gen21: 14 13
Gen22: 13 13
Gen23: 13 13
Gen24: 13 13
Gen25: 13 13
Gen26: 13 13
Gen27: 13 13
Gen28: 13 13
Gen29: 13 13
Gen30: 13 13
Gen31: 13 13
Gen32: 12 13
Gen33: 12 12
Gen34: 12 12
Gen35: 12 12
Gen36: 12 12
Gen37: 12 12
Gen38: 12 12
Gen39: 12 12
Gen40: 12 12
Gen41: 12 12
Gen42: 11 12
Gen43: 11 11
Gen44: 11 11
Gen45: 11 11
Gen46: 10 10
Gen47: 10 10
Gen48: 10 10
Gen49: 10 10
Gen50: 10 10
Gen51: 10 10
Gen52: 10 10
Gen53: 10 10
Gen54: 10 10
Gen55: 10 10
Gen56: 5018 10
Gen57: 13 10
Gen58: 13 10
Gen59: 13 10
Gen60: 13 10
Gen61: 13 10
Gen62: 13 10
Gen63: 13 10
Gen64: 13 10
Gen65: 13 10
Gen66: 13 10
Gen67: 10 10
Gen68: 9 9
Gen69: 9 9
Gen70: 9 9
Gen71: 9 9
Gen72: 9 9
Gen73: 9 9
Gen74: 9 9
Gen75: 9 9
Gen76: 9 9
Gen77: 9 9
Gen78: 12 9
Gen79: 12 9
Gen80: 12 9
Gen81: 12 9
Gen82: 12 9
Gen83: 12 9
Gen84: 12 9
Gen85: 12 9
Gen86: 12 9
Gen87: 12 9
Gen88: 15 9
Gen89: 15 9
Gen90: 15 9
Gen91: 15 9
Gen92: 15 9
Gen93: 15 9
Gen94: 15 9
Gen95: 15 9
Gen96: 15 9
Gen97: 15 9
Gen98: 1014 9
Gen99: 12 9
Gen100: 12 9
Gen101: 12 9
Gen102: 12 9
Gen103: 12 9
Gen104: 12 9
Gen105: 12 9
Gen106: 12 9
Gen107: 12 9
Gen108: 12 9
Gen109: 13 9
Gen110: 13 9
Gen111: 13 9
Gen112: 13 9
Gen113: 13 9
Gen114: 13 9
Gen115: 13 9
Gen116: 13 9
Gen117: 13 9
Gen118: 13 9
Gen119: 12 9
Gen120: 12 9
Gen121: 12 9
Gen122: 12 9
Gen123: 12 9
Gen124: 12 9
Gen125: 12 9
Gen126: 12 9
Gen127: 12 9
Gen128: 12 9
Gen129: 12 9
Gen130: 12 9
Gen131: 12 9
Gen132: 12 9
Gen133: 12 9
Gen134: 12 9
Gen135: 12 9
Gen136: 12 9
Gen137: 12 9
Gen138: 12 9
Gen139: 11 9
Gen140: 11 9
Gen141: 11 9
Gen142: 11 9
Gen143: 11 9
Gen144: 11 9
Gen145: 11 9
Gen146: 11 9
Gen147: 11 9
Gen148: 11 9
Gen149: 12 9
Gen150: 12 9
Gen151: 12 9
Gen152: 12 9
Gen153: 12 9
Gen154: 12 9
Gen155: 12 9
Gen156: 12 9
Gen157: 12 9
Gen158: 12 9
Gen159: 5017 9
Gen160: 2013 9
Gen161: 1013 9
Gen162: 12 9
Gen163: 12 9
Gen164: 12 9
Gen165: 12 9
Gen166: 12 9
Gen167: 12 9
Gen168: 12 9
Gen169: 12 9
Gen170: 12 9
Gen171: 12 9
Gen172: 11 9
Gen173: 11 9
Gen174: 11 9
