Name: 20-35-50
Gen0: 1 1
Gen1: 2 1
Gen2: 1 1
Gen3: 2 1
Gen4: 6 1
Gen5: 4 1
Gen6: 2 1
Gen7: 8 1
Gen8: 10 1
Gen9: 7 1
Gen10: 5 1
Gen11: 4 1
Gen12: 5 1
Gen13: 3 1
Gen14: 1015 1
Gen15: 3 1
Gen16: 5 1
Gen17: 5 1
Gen18: 3 1
Gen19: 1 1
Gen20: 1 1
Gen21: 1 1
Gen22: 3 1
Gen23: 6 1
Gen24: 8 1
Gen25: 10 1
Gen26: 1 1
Gen27: 1 1
Gen28: 2 1
Gen29: 1 1
Gen30: 5 1
Gen31: 5 1
Gen32: 13 1
Gen33: 11 1
Gen34: 8 1
Gen35: 6 1
Gen36: 7 1
Gen37: 6 1
Gen38: 7 1
Gen39: 4 1
Gen40: 3 1
Gen41: 5 1
Gen42: 1013 1
Gen43: 4 1
Gen44: 2 1
Gen45: 1 1
Gen46: 2 1
Gen47: 4 1
Gen48: 1 1
Gen49: 2 1
Gen50: 8 1
Gen51: 7 1
Gen52: 6 1
Gen53: 9 1
Gen54: 6 1
Gen55: 10 1
Gen56: 7 1
Gen57: 6 1
Gen58: 9 1
Gen59: 5 1
Gen60: 4 1
Gen61: 5 1
Gen62: 3 1
Gen63: 5 1
Gen64: 5 1
Gen65: 3 1
Gen66: 3 1
Gen67: 3 1
Gen68: 3 1
Gen69: 5 1
Gen70: 3 1
Gen71: 8 1
Gen72: 2 1
Gen73: 1 1
Gen74: 4 1
Gen75: 2 1
Gen76: 8 1
Gen77: 6 1
Gen78: 2014 1
Gen79: 6 1
Gen80: 1 1
Gen81: 6 1
Gen82: 7 1
Gen83: 10 1
Gen84: 6 1
Gen85: 3 1
Gen86: 1 1
Gen87: 2 1
Gen88: 4 1
Gen89: 2 1
Gen90: 1 1
Gen91: 9 1
Gen92: 5 1
Gen93: 13 1
Gen94: 5 1
Gen95: 4 1
Gen96: 5 1
Gen97: 6 1
Gen98: 1 1
Gen99: 2 1
Gen100: 2 1
Gen101: 8 1
Gen102: 7 1
Gen103: 8 1
Gen104: 6 1
Gen105: 12 1
Gen106: 3 1
Gen107: 3 1
Gen108: 4 1
Gen109: 7 1
Gen110: 5 1
Gen111: 1 1
Gen112: 1 1
Gen113: 1 1
Gen114: 6 1
Gen115: 12 1
Gen116: 6 1
Gen117: 7 1
Gen118: 5 1
Gen119: 11 1
Gen120: 6 1
Gen121: 7 1
Gen122: 6 1
Gen123: 15 1
Gen124: 7 1
Gen125: 10 1
Gen126: 8 1
Gen127: 8 1
Gen128: 10 1
Gen129: 10 1
Gen130: 6 1
Gen131: 5 1
Gen132: 3 1
Gen133: 9 1
Gen134: 6 1
Gen135: 14 1
Gen136: 4 1
Gen137: 3 1
Gen138: 1 1
Gen139: 11 1
Gen140: 3 1
Gen141: 4 1
Gen142: 5 1
Gen143: 11 1
Gen144: 7 1
Gen145: 3 1
Gen146: 1 1
Gen147: 1 1
Gen148: 2 1
Gen149: 4 1
Gen150: 6 1
Gen151: 1 1
Gen152: 7 1
Gen153: 3 1
Gen154: 4 1
Gen155: 2 1
Gen156: 2 1
Gen157: 1 1
Gen158: 6 1
Gen159: 2014 1
Gen160: 6 1
Gen161: 1 1
Gen162: 8 1
Gen163: 2 1
Gen164: 1 1
Gen165: 1 1
Gen166: 4 1
Gen167: 3 1
Gen168: 7 1
Gen169: 6 1
Gen170: 10 1
Gen171: 10 1
Gen172: 9 1
Gen173: 10 1
Gen174: 8 1
Gen175: 10 1
Gen176: 7 1
Gen177: 5 1
Gen178: 3 1
Gen179: 5 1
Gen180: 5 1
Gen181: 1013 1
Gen182: 9 1
Gen183: 7 1
Gen184: 4 1
Gen185: 1 1
Gen186: 2 1
Gen187: 4 1
Gen188: 2 1
Gen189: 4 1
Gen190: 7 1
Gen191: 13 1
Gen192: 5 1
Gen193: 3 1
Gen194: 1 1
Gen195: 2 1
Gen196: 4 1
Gen197: 1 1
Gen198: 5 1
Gen199: 11 1
Gen200: 7 1
Gen201: 15 1
Gen202: 5 1
Gen203: 4 1
Gen204: 3 1
Gen205: 1 1
Gen206: 1 1
Gen207: 3 1
Gen208: 7 1
Gen209: 4 1
Gen210: 5 1
Gen211: 5 1
Gen212: 4 1
Gen213: 3 1
Gen214: 3 1
Gen215: 4 1
Gen216: 2 1
Gen217: 4 1
Gen218: 7 1
Gen219: 5 1
Gen220: 8 1
Gen221: 10 1
Gen222: 9 1
Gen223: 8 1
Gen224: 4 1
Gen225: 3 1
Gen226: 5 1
Gen227: 3 1
Gen228: 5 1
Gen229: 5 1
Gen230: 8 1
Gen231: 10 1
Gen232: 7 1
Gen233: 6 1
Gen234: 2 1
Gen235: 4 1
Gen236: 5 1
Gen237: 5 1
Gen238: 3 1
Gen239: 7 1
Gen240: 1012 1
Gen241: 5 1
Gen242: 1 1
Gen243: 1 1
Gen244: 1 1
Gen245: 2 1
Gen246: 8 1
Gen247: 2 1
Gen248: 2 1
Gen249: 10 1
Gen250: 8 1
Gen251: 6 1
Gen252: 4 1
Gen253: 5 1
Gen254: 1012 1
Gen255: 7 1
Gen256: 4 1
Gen257: 3 1
Gen258: 4 1
Gen259: 9 1
Gen260: 8 1
Gen261: 9 1
Gen262: 9 1
Gen263: 3 1
Gen264: 3 1
Gen265: 5 1
Gen266: 3 1
Gen267: 5 1
Gen268: 4 1
Gen269: 2 1
Gen270: 6 1
Gen271: 1014 1
Gen272: 4 1
Gen273: 2 1
Gen274: 2 1
Gen275: 8 1
Gen276: 2 1
Gen277: 8 1
Gen278: 9 1
Gen279: 9 1
Gen280: 7 1
Gen281: 10 1
Gen282: 8 1
Gen283: 7 1
Gen284: 9 1
Gen285: 10 1
Gen286: 4 1
Gen287: 4 1
Gen288: 3 1
Gen289: 11 1
Gen290: 4 1
Gen291: 2 1
Gen292: 1 1
Gen293: 4 1
Gen294: 6 1
Gen295: 1014 1
Gen296: 4 1
Gen297: 2 1
Gen298: 1 1
Gen299: 6 1
Gen300: 2 1
