20 158
0 1 58.25774069470807
0 3 54.23221775327648
0 4 74.60456509134842
0 5 15.160869822223487
0 6 72.70959487661759
0 7 53.651243696464924
0 9 81.2756160646949
0 10 49.15354289752118
0 11 20.961912033135125
0 14 83.41237033367331
0 15 47.760232069323706
0 17 18.99699313447434
0 18 28.898276735856467
0 19 12.651909913408574
1 4 47.29450670315509
1 5 59.37596668508162
1 6 83.58998424910638
1 7 89.20654745614303
1 9 32.53964822199738
1 11 42.18919557743908
1 12 49.60368980466865
1 13 74.68436821089652
1 15 69.58814457806885
1 17 67.03729226145957
1 18 61.653905426249096
2 3 20.341397276865887
2 5 79.51085098463233
2 6 59.671284085834316
2 7 16.90907053676906
2 8 99.79299472036075
2 9 79.84810390779083
2 11 69.06375447291569
2 13 43.1264125038715
2 14 55.83047501532508
2 15 68.94045587642077
2 16 74.14155994927333
2 19 65.71752478123689
3 4 66.57496583694537
3 5 99.46493628789044
3 6 9.915543752755104
3 7 50.08465982707142
3 8 45.9813639247579
3 9 91.77761060858954
3 10 11.048147692700674
3 11 70.01376146674238
3 12 75.0609938157581
3 13 87.42970669257134
3 14 64.35458581723717
3 15 6.902287653064248
3 17 82.18765108765608
3 18 56.01156621419254
4 5 67.14683326537511
4 7 46.808322642729465
4 10 46.85213927141045
4 11 29.106104007031135
4 13 5.206949737235505
4 14 49.88129744011462
4 15 88.12110222848446
4 18 37.57388888848228
4 19 31.17358099962437
5 6 99.2036371219808
5 7 66.88447471882527
5 8 10.9336674310961
5 9 50.54392394058972
5 10 59.59963285367055
5 11 94.73992553215678
5 12 2.125998274136928
5 13 6.5297603088543115
5 14 1.4265316572806956
5 15 97.23927961450723
5 16 23.776587692419138
5 18 96.54767620072172
6 7 30.701989085615356
6 8 92.91197593360106
6 9 11.685247799215398
6 10 93.89114045487152
6 11 25.500371531450277
6 12 5.066695667767366
6 13 91.50791914637186
6 14 97.54783551527807
6 15 10.41502660307362
6 16 63.40136085516259
6 18 67.22441072847991
6 19 83.7765461275481
7 8 23.296047426998975
7 9 57.17392585961601
7 10 69.88036610826659
7 11 61.1369893014398
7 12 94.9717815777266
7 14 12.33859855663796
7 15 36.283544168645804
7 16 4.563462358993891
7 17 62.579374997729595
7 18 11.206864611727735
7 19 86.59089798698561
8 9 2.5948751254822495
8 10 4.471834342652359
8 11 23.40607517543511
8 12 63.89178487854258
8 13 6.8717864164915845
8 14 21.72240754519189
8 15 27.85131555835774
8 16 21.183730196278443
8 17 9.41808523195309
8 19 63.896122447731905
9 10 61.63336514765561
9 12 40.22366823189004
9 13 2.9927810898413583
9 14 56.72142116865905
9 15 73.01399020232205
9 16 31.631798831750576
9 17 36.21600930784778
9 18 49.14391062634047
9 19 42.06784499893034
10 12 84.58760311412844
10 13 93.64987405965528
10 14 55.960378908501426
10 15 1.2935395704340709
10 16 3.3934891291575275
10 17 80.44814993217047
10 18 93.75358993145984
10 19 84.38015966205185
11 12 19.40579372045977
11 13 34.62594261928229
11 14 57.92898227960108
11 15 22.455370716375487
11 16 5.193304982926887
11 17 88.31602179063538
11 18 6.759354806455539
11 19 27.66384689858384
12 13 1.2303486364100615
12 14 25.423172673389967
12 15 34.31751595570012
12 16 77.30191857361255
12 17 17.044634896738135
12 18 77.25952447315031
12 19 7.520917039702866
13 14 62.92968747840298
13 15 27.94301148809067
13 16 46.39927321036529
13 17 96.49872772185918
13 18 73.23622153187357
13 19 6.335764121777378
14 15 41.558122315557966
14 16 16.759706790730416
14 17 9.727875744861645
14 18 19.690578812238652
14 19 33.745403018466774
15 16 89.6904541054774
15 17 22.78876271200598
15 18 68.2875445391858
15 19 51.61888615895194
16 17 74.35623397635003
16 18 45.81168153987865
16 19 44.95235437503643
17 18 98.5568645315612
17 19 72.75063527674705
18 19 0.9598231251030862
